ID,taxa,tissue_type,species,site,site_type,sample_type,year,Linear.corr.d15N,wt..N,Linear.corr.d13C,wt..C,cal_sample_date,enrich_day,days_since_enrich
E15-NHOWR-141,bird,rbc,howr,5,nonnative,enriched,2015,7.66,14.77,-24.44,48.85,157,139,18
E15-NHOWR-142,bird,rbc,howr,5,nonnative,enriched,2015,14.88,14.33,-24.43,48.55,157,139,18
E15-NHOWR-143,bird,rbc,howr,11,nonnative,enriched,2015,7.28,14.50,-24.01,48.06,152,134,18
E15-NHOWR-144,bird,rbc,howr,7,nonnative,enriched,2015,6.93,14.24,-25.06,48.41,168,125,43
E15-NHOWR-145,bird,rbc,howr,12,nonnative,enriched,2015,6.46,14.15,-25.26,48.61,160,121,39
E15-NHOWR-146,bird,rbc,howr,8,nonnative,enriched,2015,6.73,15.23,-24.81,49.22,162,138,24
E15-NHOWR-148,bird,whole blood,howr,4,nonnative,enriched,2015,7.67,13.37,-24.62,48.65,164,122,42
E15-NHOWR-149,bird,rbc,howr,25,nonnative,enriched,2015,5.49,14.81,-24.59,47.87,164,125,39
E16-NHOWR-004,bird,rbc,howr,13,nonnative,enriched,2016,5.38,15.26,-24.73,49.84,163,125,38
E16-NHOWR-005,bird,rbc,howr,23,nonnative,enriched,2016,6.41,14.27,-24.50,47.43,154,127,27
E16-NHOWR-006,bird,rbc,howr,23,nonnative,enriched,2016,6.48,15.46,-24.45,49.93,154,127,27
E16-NHOWR-007,bird,rbc,howr,13,nonnative,enriched,2016,5.75,14.96,-24.76,48.93,195,125,70
E16-NHOWR-008,bird,rbc,howr,23,nonnative,enriched,2016,6.62,15.30,-24.12,49.67,183,127,56
E16-NHOWR-009,bird,rbc,howr,23,nonnative,enriched,2016,7.57,13.78,-25.30,46.86,183,127,56
N16-NHOWR-005,bird,rbc,howr,20,native,enriched,2016,9.62,14.97,-23.47,48.04,149,125,24
N16-NHOWR-006,bird,rbc,howr,21,native,enriched,2016,8.01,15.63,-24.00,50.31,144,129,15
N16-NHOWR-007,bird,rbc,howr,24,native,enriched,2016,5.28,15.35,-24.58,49.25,172,155,17
